date,old_city,event,city,code,pref
2012.01.04,長久手町,市制,長久手市,,愛知県
2011.04.01,一色町,西尾市へ編入,西尾市,,愛知県
2011.04.01,吉良町,西尾市へ編入,西尾市,,愛知県
2011.04.01,幡豆町,西尾市へ編入,西尾市,,愛知県
2010.03.22,甚目寺町,合併・市制,あま市,,愛知県
2010.03.22,七宝町,合併・市制,あま市,,愛知県
2010.03.22,美和町,合併・市制,あま市,,愛知県
2010.02.01,小坂井町,豊川市へ編入,豊川市,,愛知県
2010.01.04,三好町,町名変更・市制,みよし市,,愛知県
2009.10.01,春日町,清須市へ編入,清須市,,愛知県
2008.01.15,音羽町,豊川市へ編入,豊川市,,愛知県
2008.01.15,御津町,豊川市へ編入,豊川市,,愛知県
2006.04.01,十四山村,弥富町へ編入・市制,弥富市,,愛知県
2006.03.20,師勝町,合併・市制,北名古屋市,,愛知県
2006.03.20,西春町,合併・市制,北名古屋市,,愛知県
2006.02.01,一宮町,豊川市へ編入,豊川市,,愛知県
2006.01.01,額田町,岡崎市へ編入,岡崎市,,愛知県
2005.11.27,富山村,豊根村へ編入,豊根村,,愛知県
2005.10.01,新城市,合併,新城市,,愛知県
2005.10.01,鳳来町,合併,新城市,,愛知県
2005.10.01,作手村,合併,新城市,,愛知県
2005.10.01,渥美町,田原市へ編入,田原市,,愛知県
2005.10.01,設楽町,合併,設楽町,,愛知県
2005.10.01,津具村,合併,設楽町,,愛知県
2005.07.07,枇杷島町,合併・市制,清須市,,愛知県
2005.07.07,清洲町,合併・市制,清須市,,愛知県
2005.07.07,新川町,合併・市制,清須市,,愛知県
2005.04.01,尾西市,一宮市へ編入,一宮市,,愛知県
2005.04.01,木曽川町,一宮市へ編入,一宮市,,愛知県
2005.04.01,藤岡町,豊田市へ編入,豊田市,,愛知県
2005.04.01,小原村,豊田市へ編入,豊田市,,愛知県
2005.04.01,足助町,豊田市へ編入,豊田市,,愛知県
2005.04.01,下山村,豊田市へ編入,豊田市,,愛知県
2005.04.01,旭町,豊田市へ編入,豊田市,,愛知県
2005.04.01,稲武町,豊田市へ編入,豊田市,,愛知県
2005.04.01,祖父江町,稲沢市へ編入,稲沢市,,愛知県
2005.04.01,平和町,稲沢市へ編入,稲沢市,,愛知県
2005.04.01,佐屋町,合併・市制,愛西市,,愛知県
2005.04.01,立田村,合併・市制,愛西市,,愛知県
2005.04.01,八開村,合併・市制,愛西市,,愛知県
2005.04.01,佐織町,合併・市制,愛西市,,愛知県
2003.08.20,赤羽根町,田原町へ編入・市制,田原市,,愛知県
