date,old_city,event,city,code,pref
2013.01.01,大網白里町,市制,大網白里市,12239,千葉県
2010.03.23,印旛村,印西市へ編入,印西市,12231,千葉県
2010.03.23,本埜村,印西市へ編入,印西市,,千葉県
2006.03.27,下総町,成田市へ編入,成田市,12211,千葉県
2006.03.27,大栄町,成田市へ編入,成田市,12211,千葉県
2006.03.27,佐原市,合併,香取市,12236,千葉県
2006.03.27,小見川町,合併,香取市,12236,千葉県
2006.03.27,山田町,合併,香取市,12236,千葉県
2006.03.27,栗源町,合併,香取市,12236,千葉県
2006.03.27,成東町,合併・市制,山武市,12237,千葉県
2006.03.27,山武町,合併・市制,山武市,12237,千葉県
2006.03.27,蓮沼村,合併・市制,山武市,12237,千葉県
2006.03.27,松尾町,合併・市制,山武市,12237,千葉県
2006.03.27,光町,合併,横芝光町,12410,千葉県
2006.03.27,横芝町,合併,横芝光町,12410,千葉県
2006.03.20,富浦町,合併・市制,南房総市,12234,千葉県
2006.03.20,富山町,合併・市制,南房総市,12234,千葉県
2006.03.20,三芳村,合併・市制,南房総市,12234,千葉県
2006.03.20,白浜町,合併・市制,南房総市,12234,千葉県
2006.03.20,千倉町,合併・市制,南房総市,12234,千葉県
2006.03.20,丸山町,合併・市制,南房総市,12234,千葉県
2006.03.20,和田町,合併・市制,南房総市,12234,千葉県
2006.01.23,八日市場市,合併,匝瑳市,12235,千葉県
2006.01.23,野栄町,合併,匝瑳市,12235,千葉県
2005.12.05,岬町,合併・市制,いすみ市,12238,千葉県
2005.12.05,夷隅町,合併・市制,いすみ市,12238,千葉県
2005.12.05,大原町,合併・市制,いすみ市,12238,千葉県
2005.07.01,旭市,合併,旭市,12215,千葉県
2005.07.01,干潟町,合併,旭市,12215,千葉県
2005.07.01,海上町,合併,旭市,12215,千葉県
2005.07.01,飯岡町,合併,旭市,12215,千葉県
2005.03.28,沼南町,柏市へ編入,柏市,12217,千葉県
2005.02.11,鴨川市,合併,鴨川市,12223,千葉県
2005.02.11,天津小湊町,合併,鴨川市,12223,千葉県
2003.06.06,関宿町,野田市へ編入,野田市,12208,千葉県
2002.04.01,富里町,市制,富里市,12233,千葉県
2001.04.01,白井町,市制,白井市,12232,千葉県
