month,place,•½‹Ï,•W€•Î·,2020”N,•½‹Ï‚©‚ç‚Ì’´‰ß,•W€•Î·‚Æ‚Ì”ä,’´‰ß,95%‹æŠÔãŒÀ
1,”ª”öŽs,237.94736842105263,38.19754745502579,307.0,69.05263157894737,1.8077765767619163,-7.342463331104227,314.3424633311042
2,”ª”öŽs,206.73684210526315,42.66515896458941,263.0,56.26315789473685,1.3187143622606283,-29.06716003444194,292.06716003444194
3,”ª”öŽs,206.57894736842104,31.23444642177693,289.0,82.42105263157896,2.6387870467944095,19.952159788025085,269.0478402119749
4,”ª”öŽs,189.8421052631579,25.558784438785505,252.0,62.15789473684211,2.431958174134345,11.040325859271093,240.9596741407289
5,”ª”öŽs,189.21052631578948,33.4740014329005,233.0,43.78947368421052,1.3081637034636462,-23.158529181590495,256.1585291815905
6,”ª”öŽs,172.47368421052633,29.05047029845478,234.0,61.52631578947367,2.11791117862716,3.425375192564104,230.5746248074359
7,”ª”öŽs,172.47368421052633,28.624714304353287,226.0,53.52631578947367,1.8699336252007,-3.7231128192329095,229.7231128192329
8,”ª”öŽs,181.10526315789474,36.256638835517045,,,,,253.61854082892881
9,”ª”öŽs,172.31578947368422,28.39024212565325,,,,,229.0962737249907
10,”ª”öŽs,190.8421052631579,34.705528150577486,,,,,260.25316156431285
11,”ª”öŽs,195.10526315789474,32.922290214723155,,,,,260.94984358734104
12,”ª”öŽs,212.31578947368422,28.653199611094333,,,,,269.62218869587286
