month,place,平均,標準偏差,2020年,平均からの超過,標準偏差との比,超過,95%区間上限
1,吹田市,241.8421052631579,43.602068194951414,335.0,93.15789473684211,2.1365476132994226,5.953758346939253,329.04624165306075
2,吹田市,206.3684210526316,42.74629357073064,232.0,25.63157894736841,0.5996210853920428,-59.86100819409285,291.86100819409285
3,吹田市,215.47368421052633,35.55491592991925,286.0,70.52631578947367,1.9835883152834628,-0.5835160703647944,286.5835160703648
4,吹田市,189.57894736842104,30.865867141325626,255.0,65.42105263157896,2.1195274486226294,3.6893183489277135,251.3106816510723
5,吹田市,201.6315789473684,31.24137307822538,227.0,25.36842105263159,0.8120136393849117,-37.11432510381917,264.11432510381917
6,吹田市,182.3684210526316,30.11129453343931,228.0,45.63157894736841,1.5154306599702465,-14.591010119510202,242.5910101195102
7,吹田市,191.3684210526316,32.966667553616084,247.0,55.63157894736841,1.6875099327795489,-10.301756159863771,257.30175615986377
8,吹田市,190.57894736842104,36.73223801977659,,,,,264.0434234079742
9,吹田市,184.6315789473684,31.070190297875534,,,,,246.77195954311946
10,吹田市,195.05263157894737,29.960109931949564,,,,,254.9728514428465
11,吹田市,202.42105263157896,36.791176160525964,,,,,276.0034049526309
12,吹田市,215.57894736842104,28.667278655238203,,,,,272.9135046788974
