month,place,平均,標準偏差,2020年,平均からの超過,標準偏差との比,超過,95%区間上限
1,四條畷市,42.26315789473684,7.643749118383945,59.0,16.736842105263158,2.1896116481648327,1.4493438684952693,57.55065613150473
2,四條畷市,37.78947368421053,8.495612902933562,55.0,17.210526315789473,2.0258133830281535,0.2193005099223484,54.78069949007765
3,四條畷市,38.526315789473685,8.22846293904161,37.0,-1.526315789473685,-0.18549221170235458,-17.983241667556904,54.983241667556904
4,四條畷市,34.21052631578947,5.949593332213005,37.0,2.7894736842105274,0.46885115140684036,-9.109712980215484,46.109712980215484
5,四條畷市,32.78947368421053,9.180770648894477,40.0,7.210526315789473,0.7853944501551996,-11.15101498199948,51.15101498199948
6,四條畷市,29.31578947368421,7.439030937329789,32.0,2.684210526315791,0.36082798269411126,-12.193851348343784,44.193851348343784
7,四條畷市,33.36842105263158,6.857360411475066,42.0,8.631578947368418,1.2587319944456157,-5.083141875581717,47.08314187558172
8,四條畷市,33.10526315789474,5.915091215997201,,,,,44.93544558988914
9,四條畷市,30.736842105263158,7.0698271648146305,,,,,44.87649643489242
10,四條畷市,32.26315789473684,7.178997959040414,,,,,46.62115381281767
11,四條畷市,37.68421052631579,8.673411680269684,,,,,55.031033886855155
12,四條畷市,38.94736842105263,9.54215025971334,,,,,58.03166894047931
