month,place,•½‹Ï,•W€•Î·,2020”N,•½‹Ï‚©‚ç‚Ì’´‰ß,•W€•Î·‚Æ‚Ì”ä,’´‰ß,95%‹æŠÔãŒÀ
1,‘å“ŒŽs,97.78947368421052,16.658594536449485,116.0,18.21052631578948,1.0931610272369812,-15.10666275710949,131.1066627571095
2,‘å“ŒŽs,88.10526315789474,17.207539487232868,83.0,-5.10526315789474,-0.29668757475074164,-39.52034213236047,122.52034213236047
3,‘å“ŒŽs,90.36842105263158,15.727578489589515,100.0,9.631578947368425,0.6124006282177394,-21.823578031810598,121.8235780318106
4,‘å“ŒŽs,79.10526315789474,11.57533170555243,110.0,30.89473684210526,2.669015249669756,7.744073431000402,102.2559265689996
5,‘å“ŒŽs,78.89473684210526,13.457318276858818,94.0,15.10526315789474,1.1224571528392642,-11.809373395822888,105.80937339582289
6,‘å“ŒŽs,70.0,16.937794687883336,78.0,8.0,0.472316505626491,-25.87558937576668,103.87558937576668
7,‘å“ŒŽs,78.52631578947368,13.090999541893199,94.0,15.473684210526315,1.1820093768247537,-10.708314873260079,104.70831487326008
8,‘å“ŒŽs,75.47368421052632,16.66789469160075,,,,,108.80947359372782
9,‘å“ŒŽs,72.0,11.254628677422755,,,,,94.50925735484552
10,‘å“ŒŽs,81.26315789473684,13.122678017941807,,,,,107.50851393062045
11,‘å“ŒŽs,78.52631578947368,14.515770814503146,,,,,107.55785741847998
12,‘å“ŒŽs,89.10526315789474,10.51398400460657,,,,,110.13323116710788
