month,place,平均,標準偏差,2020年,平均からの超過,標準偏差との比,超過
1,大阪狭山市,41.0,10.635370755695877,55.0,14.0,1.3163621956951677,-7.270741511391755
2,大阪狭山市,37.10526315789474,7.332535841804322,50.0,12.89473684210526,1.758564447593923,-1.7703348415033844
3,大阪狭山市,39.94736842105263,10.030363260346205,46.0,6.05263157894737,0.6034309448069242,-14.008094941745043
4,大阪狭山市,35.05263157894737,7.827825611315673,39.0,3.94736842105263,0.5042739346858253,-11.708282801578719
5,大阪狭山市,34.421052631578945,8.248338482342868,38.0,3.578947368421055,0.4338991878282481,-12.917729596264678
6,大阪狭山市,32.89473684210526,10.524546634955115,32.0,-0.8947368421052602,-0.08501428832417122,-21.94383011201549
7,大阪狭山市,29.36842105263158,5.88982669350569,31.0,1.6315789473684212,0.27701646114094525,-10.148074439642961
8,大阪狭山市,30.63157894736842,7.92471889663244,,,,
9,大阪狭山市,32.26315789473684,7.744834158350383,,,,
10,大阪狭山市,33.26315789473684,7.92213569172661,,,,
11,大阪狭山市,35.63157894736842,6.057231915613944,,,,
12,大阪狭山市,38.05263157894737,9.800644447124247,,,,
