month,place,ïΩãœ,ïWèÄïŒç∑,2020îN,ïΩãœÇ©ÇÁÇÃí¥âﬂ,ïWèÄïŒç∑Ç∆ÇÃî‰,í¥âﬂ,95%ãÊä‘è„å¿
1,ïxìcó—és,95.47368421052632,16.42954121579186,158.0,62.526315789473685,3.8057250028000906,29.667233357889955,128.33276664211004
2,ïxìcó—és,88.73684210526316,14.490771412880367,121.0,32.263157894736835,2.2264624135923627,3.2816150689760946,117.7183849310239
3,ïxìcó—és,87.94736842105263,12.407317214766305,110.0,22.05263157894737,1.7773891968121762,-2.7620028505852474,112.76200285058525
4,ïxìcó—és,78.10526315789474,15.729995185568612,108.0,29.89473684210526,1.9004924343226757,-1.5652535290319634,109.56525352903196
5,ïxìcó—és,80.52631578947368,15.625365492801304,86.0,5.473684210526315,0.3503075952398088,-25.777046775076286,111.77704677507629
6,ïxìcó—és,68.6842105263158,13.650611022461582,91.0,22.315789473684205,1.6347831929987886,-4.9854325712389596,95.98543257123896
7,ïxìcó—és,76.52631578947368,13.557976008619148,104.0,27.473684210526315,2.0263853685137514,0.3577321932880153,103.64226780671198
8,ïxìcó—és,74.10526315789474,12.542792250009589,,,,,99.19084765791392
9,ïxìcó—és,72.3157894736842,12.018747538643984,,,,,96.35328455097218
10,ïxìcó—és,81.42105263157895,16.72760788328911,,,,,114.87626839815717
11,ïxìcó—és,83.05263157894737,16.86374706025564,,,,,116.78012569945865
12,ïxìcó—és,85.6842105263158,12.342575958305854,,,,,110.3693624429275
