month,place,•½‹Ï,•W€•Î·,2020”N,•½‹Ï‚©‚ç‚Ì’´‰ß,•W€•Î·‚Æ‚Ì”ä,’´‰ß,95%‹æŠÔãŒÀ
1,‰Í“à’·–ìŽs,94.6842105263158,17.5247527533009,130.0,35.315789473684205,2.015194734603731,0.26628396708241553,129.73371603291758
2,‰Í“à’·–ìŽs,82.52631578947368,19.554392575732134,109.0,26.473684210526315,1.3538484567084599,-12.635100940937946,121.63510094093795
3,‰Í“à’·–ìŽs,90.36842105263158,14.107565056127351,109.0,18.631578947368425,1.3206799949702273,-9.583551164886273,118.58355116488627
4,‰Í“à’·–ìŽs,78.26315789473684,14.379159708346265,102.0,23.736842105263165,1.6507808930924739,-5.021477311429365,107.02147731142936
5,‰Í“à’·–ìŽs,73.21052631578948,15.32455889293907,100.0,26.78947368421052,1.74813995439399,-3.8596441016676124,103.85964410166761
6,‰Í“à’·–ìŽs,71.84210526315789,11.34442182011708,97.0,25.15789473684211,2.217644507208783,2.4690510966079557,94.53094890339204
7,‰Í“à’·–ìŽs,75.10526315789474,11.24423178958935,76.0,0.8947368421052602,0.07957296317331936,-21.59372673707344,97.59372673707344
8,‰Í“à’·–ìŽs,77.52631578947368,13.309847737056412,,,,,104.1460112635865
9,‰Í“à’·–ìŽs,72.47368421052632,15.653783429973554,,,,,103.78125107047342
10,‰Í“à’·–ìŽs,80.42105263157895,11.601320755623208,,,,,103.62369414282536
11,‰Í“à’·–ìŽs,84.26315789473684,15.121148197376334,,,,,114.5054542894895
12,‰Í“à’·–ìŽs,90.6842105263158,15.968902528139385,,,,,122.62201558259457
