month,place,ïΩãœ,ïWèÄïŒç∑,2020îN,ïΩãœÇ©ÇÁÇÃí¥âﬂ,ïWèÄïŒç∑Ç∆ÇÃî‰,í¥âﬂ
1,ñ•ñ és,83.15789473684211,16.337629223818574,105.0,21.84210526315789,1.336920122493315,-10.833153184479258
2,ñ•ñ és,73.10526315789474,17.336200842431506,106.0,32.89473684210526,1.8974593765430545,-1.7776648427577584
3,ñ•ñ és,78.73684210526316,14.153296063945112,90.0,11.263157894736835,0.7957975190972812,-17.04343423315339
4,ñ•ñ és,75.0,11.680943645290155,73.0,-2.0,-0.17121904366060486,-25.361887290580313
5,ñ•ñ és,74.6842105263158,15.78695886405734,90.0,15.315789473684205,0.9701545183951888,-16.258128254430474
6,ñ•ñ és,67.15789473684211,16.25581317523993,80.0,12.84210526315789,0.7900007907767029,-19.669521087321968
7,ñ•ñ és,67.73684210526316,12.94793894050391,80.0,12.263157894736835,0.9471127374855829,-13.632719986270985
8,ñ•ñ és,71.15789473684211,17.414116744420433,,,,
9,ñ•ñ és,69.47368421052632,11.682695755559122,,,,
10,ñ•ñ és,75.15789473684211,15.08223074384311,,,,
11,ñ•ñ és,77.63157894736842,17.823862052864193,,,,
12,ñ•ñ és,77.84210526315789,10.838527769514009,,,,
