month,place,•½‹Ï,•W€•Î·,2020”N,•½‹Ï‚©‚ç‚Ì’´‰ß,•W€•Î·‚Æ‚Ì”ä,’´‰ß
1,‰H‰g–ìŽs,98.94736842105263,19.300183315797593,122.0,23.05263157894737,1.1944255244497248,-15.547735052647823
2,‰H‰g–ìŽs,92.05263157894737,15.407334776407007,92.0,-0.05263157894736992,-0.0034160080060026844,-30.86730113176138
3,‰H‰g–ìŽs,94.52631578947368,14.104248457872668,120.0,25.473684210526315,1.8061000759177275,-2.7348127052190137
4,‰H‰g–ìŽs,83.26315789473684,10.795277286661348,84.0,0.7368421052631646,0.06825596839217898,-20.853712468059527
5,‰H‰g–ìŽs,84.63157894736842,16.587178871766486,116.0,31.368421052631575,1.8911245423430423,-1.8059366909014045
6,‰H‰g–ìŽs,74.57894736842105,11.553334244439684,86.0,11.421052631578945,0.9885503517805345,-11.68561585730042
7,‰H‰g–ìŽs,82.21052631578948,16.470778661241322,86.0,3.7894736842105203,0.2300725279690527,-29.15208363827213
8,‰H‰g–ìŽs,84.47368421052632,13.541575573242868,,,,
9,‰H‰g–ìŽs,78.15789473684211,14.064388274783216,,,,
10,‰H‰g–ìŽs,87.0,19.203587627778766,,,,
11,‰H‰g–ìŽs,90.10526315789474,13.207299062942873,,,,
12,‰H‰g–ìŽs,91.21052631578948,12.989649500738917,,,,
