month,place,•½‹Ï,•W€•Î·,2020”N,•½‹Ï‚©‚ç‚Ì’´‰ß,•W€•Î·‚Æ‚Ì”ä,’´‰ß
1,ˆï–ØŽs,180.21052631578948,34.38924080349748,225.0,44.78947368421052,1.3024269404532858,-23.989007922784424
2,ˆï–ØŽs,154.6315789473684,27.910990520095584,207.0,52.36842105263159,1.8762652301761538,-3.453559987559572
3,ˆï–ØŽs,167.68421052631578,25.455958987105873,215.0,47.31578947368422,1.8587313680718505,-3.596128500527527
4,ˆï–ØŽs,150.78947368421052,25.77806765313926,191.0,40.21052631578948,1.5598735660425902,-11.34560899048904
5,ˆï–ØŽs,147.31578947368422,24.709540738523895,174.0,26.68421052631578,1.0799152768029088,-22.734870950732017
6,ˆï–ØŽs,136.10526315789474,23.418641048062796,173.0,36.89473684210526,1.5754431167199265,-9.942545254020331
7,ˆï–ØŽs,142.6315789473684,28.057897534118403,194.0,51.36842105263159,1.830800792902162,-4.747374015605203
8,ˆï–ØŽs,145.10526315789474,26.501351615095047,,,,
9,ˆï–ØŽs,134.89473684210526,25.692399950270865,,,,
10,ˆï–ØŽs,145.0,30.503187447288923,,,,
11,ˆï–ØŽs,154.52631578947367,28.111619624182755,,,,
12,ˆï–ØŽs,171.78947368421052,30.218792805082256,,,,
