month,place,平均,標準偏差,2020年,平均からの超過,標準偏差との比,超過
1,豊能町,17.94736842105263,5.797256862905328,27.0,9.05263157894737,1.561537084353132,-2.541882146863287
2,豊能町,17.210526315789473,4.744341042739714,20.0,2.7894736842105274,0.587958087136099,-6.699208401268901
3,豊能町,17.31578947368421,3.6522843928902504,12.0,-5.315789473684209,-1.455469755869021,-12.620358259464709
4,豊能町,15.526315789473685,4.1948171864897965,17.0,1.473684210526315,0.35131071153055116,-6.915950162453278
5,豊能町,14.421052631578947,5.439728235385827,20.0,5.578947368421053,1.0255930309403318,-5.300509102350603
6,豊能町,14.789473684210526,4.289249447014413,21.0,6.210526315789474,1.4479284528700915,-2.3679725782393533
7,豊能町,14.210526315789474,4.528661163061834,15.0,0.7894736842105257,0.17432827402718765,-8.26784864191314
8,豊能町,13.0,3.7859388972001824,,,,
9,豊能町,13.473684210526315,4.992977524624311,,,,
10,豊能町,16.473684210526315,3.4216373769266206,,,,
11,豊能町,15.210526315789474,4.756036484399134,,,,
12,豊能町,17.789473684210527,5.563561482923416,,,,
