month,place,•½‹Ï,•W€•Î·,2020”N,•½‹Ï‚©‚ç‚Ì’´‰ß,•W€•Î·‚Æ‚Ì”ä,’´‰ß
1,Œð–ìŽs,63.5,7.928249671720919,63.0,-0.5,-0.06306562238868912,-16.35649934344184
2,Œð–ìŽs,60.375,7.36667205343479,70.0,9.625,1.306560130569711,-5.1083441068695805
3,Œð–ìŽs,55.625,8.122939299117215,54.0,-1.625,-0.20005073781317087,-17.870878598234427
4,Œð–ìŽs,48.625,9.241791724861272,47.0,-1.625,-0.17583170540714524,-20.108583449722545
5,Œð–ìŽs,51.75,7.4017372478165075,51.0,-0.75,-0.10132756336645805,-15.553474495633012
6,Œð–ìŽs,46.25,9.543135154205277,43.0,-3.25,-0.34055894079712945,-22.336270308410548
7,Œð–ìŽs,46.5,9.456668093391638,49.0,2.5,0.264363724655517,-16.413336186783283
8,Œð–ìŽs,51.5,7.329003050503235,54.0,2.5,0.34111051431863454,-12.158006101006464
9,Œð–ìŽs,49.875,8.096516005577426,49.0,-0.875,-0.10807117523107977,-17.068032011154855
10,Œð–ìŽs,52.875,6.128096884724607,,,,
11,Œð–ìŽs,51.25,9.207915849187279,,,,
12,Œð–ìŽs,54.25,8.762745818846641,,,,
