month,place,ïΩãœ,ïWèÄïŒç∑,2020îN,ïΩãœÇ©ÇÁÇÃí¥âﬂ,ïWèÄïŒç∑Ç∆ÇÃî‰,í¥âﬂ,95%ãÊä‘è„å¿
1,òaêÚés,147.875,16.796577032240826,139.0,-8.875,-0.5283814662335394,-42.468154064481666,181.46815406448167
2,òaêÚés,134.375,12.293290853144248,121.0,-13.375,-1.0879918290210375,-37.961581706288484,158.96158170628848
3,òaêÚés,125.75,9.498120114753535,142.0,16.25,1.7108648662758745,-2.746240229507066,144.74624022950707
4,òaêÚés,127.125,10.789379698838776,151.0,23.875,2.212824153604455,2.296240602322456,148.70375939767754
5,òaêÚés,125.5,16.869245050429154,131.0,5.5,0.32603711568349525,-28.238490100858314,159.23849010085831
6,òaêÚés,110.375,8.331309278001525,130.0,19.625,2.355572137001203,2.9623814439969465,127.03761855600305
7,òaêÚés,120.25,12.691391908353811,141.0,20.75,1.634966452051788,-4.632783816707615,145.63278381670762
8,òaêÚés,125.25,19.637791554623885,143.0,17.75,0.9038694575521458,-21.525583109247776,164.52558310924778
9,òaêÚés,118.625,15.900920907742599,155.0,36.375,2.287603353984863,4.573158184514796,150.4268418154852
10,òaêÚés,124.25,10.333717350775292,,,,,144.91743470155058
11,òaêÚés,128.5,20.00714158208799,,,,,168.514283164176
12,òaêÚés,131.25,16.89251736293744,,,,,165.03503472587488
