month,place,ïΩãœ,ïWèÄïŒç∑,2020îN,ïΩãœÇ©ÇÁÇÃí¥âﬂ,ïWèÄïŒç∑Ç∆ÇÃî‰,í¥âﬂ,95%ãÊä‘è„å¿
1,ëÂç„és,2854.875,281.3987701770263,3192.0,337.125,1.1980329544010326,-225.67254035405267,3417.6725403540527
2,ëÂç„és,2502.875,217.90131285253227,2500.0,-2.875,-0.01319404625132156,-438.67762570506466,2938.6776257050647
3,ëÂç„és,2509.25,138.9673651309133,2702.0,192.75,1.387016295649134,-85.18473026182664,2787.1847302618266
4,ëÂç„és,2248.25,44.38387738164131,2513.0,264.75,5.965003862179685,175.98224523671752,2337.0177547632825
5,ëÂç„és,2370.625,209.39636884558024,2212.0,-158.625,-0.7575346261948712,-577.4177376911603,2789.4177376911603
6,ëÂç„és,2094.125,99.83334327052975,2327.0,232.875,2.3326374973635025,33.208313458940665,2293.7916865410593
7,ëÂç„és,2225.375,192.8840788067871,2397.0,171.625,0.889783133277255,-214.1431576135742,2611.143157613574
8,ëÂç„és,2321.375,152.5684272711756,2619.0,297.625,1.950764029775311,-7.511854542351102,2626.511854542351
9,ëÂç„és,2111.375,115.43574279349406,2407.0,295.625,2.5609485662413167,64.753514413012,2342.246485586988
10,ëÂç„és,2336.625,168.96993604104335,,,,,2674.564872082087
11,ëÂç„és,2344.875,143.90317925605396,,,,,2632.681358512108
12,ëÂç„és,2463.375,63.890391631740236,,,,,2591.1557832634803
