month,place,ïΩãœ,ïWèÄïŒç∑,2020îN,ïΩãœÇ©ÇÁÇÃí¥âﬂ,ïWèÄïŒç∑Ç∆ÇÃî‰,í¥âﬂ,95%ãÊä‘è„å¿
1,ëÂç„ï{,8577.875,865.4596528517582,9609.0,1031.125,1.1914189143333966,-699.7943057035154,10308.794305703515
2,ëÂç„ï{,7541.125,626.9482634157304,7590.0,48.875,0.07795699079493408,-1205.0215268314605,8795.02152683146
3,ëÂç„ï{,7504.0,461.5631824881307,8177.0,673.0,1.4580885684427538,-250.12636497626227,8427.126364976262
4,ëÂç„ï{,6733.0,189.41564273915108,7705.0,972.0,5.131571954374249,593.1687145216974,7111.831285478303
5,ëÂç„ï{,7057.125,682.1498447660058,6972.0,-85.125,-0.12478929762008517,-1449.424689532012,8421.424689532012
6,ëÂç„ï{,6254.125,302.7665000812153,6913.0,658.875,2.1761819746347784,53.34199983756935,6859.658000162431
7,ëÂç„ï{,6600.375,532.8797606268362,7164.0,563.625,1.057696391653152,-502.1345212536726,7666.134521253673
8,ëÂç„ï{,6843.5,408.47556317885864,7659.0,815.5,1.9964474585788579,-1.4511263577169302,7660.451126357717
9,ëÂç„ï{,6365.625,345.8413911855301,7362.0,996.375,2.8810172101854765,304.69221762893994,7057.30778237106
10,ëÂç„ï{,6960.25,551.5504769025484,,,,,8063.350953805097
11,ëÂç„ï{,7145.75,437.6857156845374,,,,,8021.121431369074
12,ëÂç„ï{,7490.125,211.58141796616127,,,,,7913.287835932322
