month,place,平均,標準偏差,2020年,平均からの超過,標準偏差との比,超過
1,太子町,13.75,3.1509635714446826,11.0,-2.75,-0.8727489028821602,-9.051927142889365
2,太子町,10.25,2.434865792722759,7.0,-3.25,-1.3347758261311509,-8.119731585445518
3,太子町,10.375,4.565006649971686,9.0,-1.375,-0.30120438050370163,-10.505013299943371
4,太子町,8.5,2.138089935299395,6.0,-2.5,-1.1692679333668565,-6.77617987059879
5,太子町,10.375,3.3779748793788102,8.0,-2.375,-0.7030839733292358,-9.13094975875762
6,太子町,8.25,2.712405363721075,11.0,2.75,1.0138602573132174,-2.67481072744215
7,太子町,9.625,2.1339098923270936,9.0,-0.625,-0.2928895930645031,-4.892819784654186
8,太子町,8.75,5.311712126450916,5.0,-3.75,-0.7059870547814509,-14.373424252901835
9,太子町,6.875,2.5319388392523003,8.0,1.125,0.4443235288938577,-3.9388776785046
10,太子町,10.375,3.7392703642746747,,,,
11,太子町,11.25,3.24037034920393,,,,
12,太子町,11.125,1.4577379737113252,,,,
