month,place,ïΩãœ,ïWèÄïŒç∑,2020îN,ïΩãœÇ©ÇÁÇÃí¥âﬂ,ïWèÄïŒç∑Ç∆ÇÃî‰,í¥âﬂ,95%ãÊä‘è„å¿
1,ñ¶í¨,22.875,4.642582409453969,20.0,-2.875,-0.6192674133571576,-12.160164818907937,32.16016481890794
2,ñ¶í¨,22.0,4.566962103755937,19.0,-3.0,-0.6568918094443471,-12.133924207511875,31.133924207511875
3,ñ¶í¨,22.25,4.590362575159894,25.0,2.75,0.5990812174361217,-6.4307251503197875,31.430725150319788
4,ñ¶í¨,17.75,1.9086270308410553,24.0,6.25,3.274605199972399,2.4327459383178898,21.56725406168211
5,ñ¶í¨,18.375,2.1339098923270936,14.0,-4.375,-2.0502271514515216,-8.642819784654186,22.642819784654186
6,ñ¶í¨,17.625,4.470139019889969,16.0,-1.625,-0.3635233698033845,-10.56527803977994,26.56527803977994
7,ñ¶í¨,17.75,3.011881234615431,17.0,-0.75,-0.2490138028619057,-6.77376246923086,23.77376246923086
8,ñ¶í¨,16.125,5.111262075065218,17.0,0.875,0.17119059581558146,-9.347524150130436,26.347524150130436
9,ñ¶í¨,18.75,4.832922806867792,15.0,-3.75,-0.7759279735796913,-13.415845613735584,28.415845613735584
10,ñ¶í¨,16.75,3.5355339059327378,,,,,23.821067811865476
11,ñ¶í¨,17.75,5.4707011825333165,,,,,28.691402365066633
12,ñ¶í¨,23.0,5.398412465054624,,,,,33.796824930109246
