month,place,平均,標準偏差,2020年,平均からの超過,標準偏差との比,超過,95%区間上限
1,島本町,24.375,5.527528509973641,24.0,-0.375,-0.06784225523638018,-11.430057019947284,35.430057019947284
2,島本町,22.375,5.097268175909804,27.0,4.625,0.9073487680829135,-5.5695363518196075,32.56953635181961
3,島本町,21.375,3.7008686239082538,30.0,8.625,2.330533957428535,1.2232627521834942,28.776737247816506
4,島本町,21.75,3.9188190640986296,25.0,3.25,0.8293314763557564,-4.587638128197259,29.58763812819726
5,島本町,22.25,4.496029994816062,26.0,3.75,0.8340691686496227,-5.242059989632125,31.242059989632125
6,島本町,16.75,6.943650748294136,15.0,-1.75,-0.25202880493808344,-15.637301496588272,30.63730149658827
7,島本町,19.75,5.4182232195751086,21.0,1.25,0.23070293514005938,-9.586446439150215,30.586446439150215
8,島本町,22.375,5.578978401105349,21.0,-1.375,-0.24646089322152145,-12.532956802210698,33.5329568022107
9,島本町,14.625,4.172614801981401,20.0,5.375,1.288161082457848,-2.9702296039627996,22.9702296039628
10,島本町,20.0,3.4226138716316967,,,,,26.845227743263393
11,島本町,20.375,3.6620642110310255,,,,,27.699128422062053
12,島本町,23.875,5.436319658424385,,,,,34.74763931684877
