month,place,•½‹Ï,•W€•Î·,2020”N,•½‹Ï‚©‚ç‚Ì’´‰ß,•W€•Î·‚Æ‚Ì”ä,’´‰ß
1,’‰‰ª’¬,18.875,5.02671434864337,24.0,5.125,1.0195526629403868,-4.928428697286741
2,’‰‰ª’¬,15.375,2.9730936268953445,15.0,-0.375,-0.12613124477737825,-6.32118725379069
3,’‰‰ª’¬,17.0,5.237229365663817,23.0,6.0,1.1456439237389602,-4.474458731327633
4,’‰‰ª’¬,15.25,5.67576300723398,13.0,-2.25,-0.3964224716804221,-13.60152601446796
5,’‰‰ª’¬,15.25,6.519202405202649,16.0,0.75,0.11504474832710555,-12.288404810405297
6,’‰‰ª’¬,14.25,5.257647491307984,21.0,6.75,1.2838441548542754,-3.76529498261597
7,’‰‰ª’¬,13.125,4.356850107261306,18.0,4.875,1.1189276380831013,-3.8387002145226106
8,’‰‰ª’¬,14.875,4.257346591481601,9.0,-5.875,-1.379967515859553,-14.3896931829632
9,’‰‰ª’¬,13.5,4.6291004988627575,22.0,8.5,1.8362098645488936,-0.7582009977255169
10,’‰‰ª’¬,13.125,4.823676724538776,,,,
11,’‰‰ª’¬,14.625,4.405759217854998,,,,
12,’‰‰ª’¬,17.625,4.50198368975912,,,,
