month,place,ïΩãœ,ïWèÄïŒç∑,2020îN,ïΩãœÇ©ÇÁÇÃí¥âﬂ,ïWèÄïŒç∑Ç∆ÇÃî‰,í¥âﬂ,95%ãÊä‘è„å¿
1,ê€í√és,64.5,11.045361017187261,79.0,14.5,1.3127683176165186,-7.590722034374522,86.59072203437452
2,ê€í√és,64.875,10.548358030653734,57.0,-7.875,-0.7465616901810781,-28.97171606130746,85.97171606130746
3,ê€í√és,61.875,5.276294695549683,90.0,28.125,5.330445250475144,17.57241060890064,72.42758939109936
4,ê€í√és,57.0,7.230886134196436,62.0,5.0,0.6914781822318997,-9.461772268392878,71.46177226839288
5,ê€í√és,57.5,11.338934190276817,60.0,2.5,0.22047927592204922,-20.177868380553633,80.17786838055363
6,ê€í√és,55.0,9.754120008635178,68.0,13.0,1.332770151330032,-6.508240017270353,74.50824001727035
7,ê€í√és,52.0,9.57675757833964,56.0,4.0,0.41767790061294374,-15.153515156679276,71.15351515667928
8,ê€í√és,54.375,7.8182478855559445,66.0,11.625,1.4869060395842595,-4.011495771111896,70.0114957711119
9,ê€í√és,48.875,5.693040864574423,46.0,-2.875,-0.5050025229732683,-14.261081729148842,60.26108172914884
10,ê€í√és,55.75,6.98467710676122,,,,,69.71935421352244
11,ê€í√és,59.375,9.379879682444912,,,,,78.13475936488982
12,ê€í√és,57.75,2.815771906346718,,,,,63.38154381269344
