month,place,ïΩãœ,ïWèÄïŒç∑,2020îN,ïΩãœÇ©ÇÁÇÃí¥âﬂ,ïWèÄïŒç∑Ç∆ÇÃî‰,í¥âﬂ,95%ãÊä‘è„å¿
1,èºå¥és,125.125,18.200765290032646,168.0,42.875,2.3556701774226934,6.473469419934702,161.5265305800653
2,èºå¥és,106.5,12.24744871391589,130.0,23.5,1.9187669651801562,-0.9948974278317735,130.99489742783177
3,èºå¥és,112.5,6.568322247184371,129.0,16.5,2.512057018376804,3.3633555056312616,125.63664449436874
4,èºå¥és,99.5,13.060299712159312,104.0,4.5,0.3445556456725446,-21.620599424318627,125.62059942431863
5,èºå¥és,106.875,13.527089223374809,118.0,11.125,0.8224237909790675,-15.929178446749631,133.92917844674963
6,èºå¥és,92.0,7.502380574571933,89.0,-3.0,-0.39987307630967156,-18.00476114914386,107.00476114914386
7,èºå¥és,97.75,12.65757819309388,90.0,-7.75,-0.6122814239637476,-33.065156386187766,123.06515638618777
8,èºå¥és,95.875,9.326421760629469,98.0,2.125,0.2278472981964497,-16.527843521258944,114.52784352125894
9,èºå¥és,96.875,15.422038960989747,88.0,-8.875,-0.5754751380442904,-39.71907792197949,127.71907792197949
10,èºå¥és,109.875,18.122105680237997,,,,,146.119211360476
11,èºå¥és,107.875,11.716136613357543,,,,,131.3072732267151
12,èºå¥és,106.25,12.244532307465704,,,,,130.7390646149314
