month,place,•½‹Ï,•W€•Î·,2020”N,•½‹Ï‚©‚ç‚Ì’´‰ß,•W€•Î·‚Æ‚Ì”ä,’´‰ß,95%‹æŠÔãŒÀ
1,–‡•ûŽs,348.625,61.066562045034104,435.0,86.375,1.4144401961961106,-35.758124090068236,470.75812409006824
2,–‡•ûŽs,301.25,40.934616855943055,301.0,-0.25,-0.006107300353629766,-82.11923371188612,383.1192337118861
3,–‡•ûŽs,307.75,15.96200846653435,324.0,16.25,1.0180423117848514,-15.674016933068685,339.6740169330687
4,–‡•ûŽs,263.0,22.00649254846656,293.0,30.0,1.3632340516749197,-14.012985096933107,307.0129850969331
5,–‡•ûŽs,280.625,44.57077037059794,301.0,20.375,0.4571381609648103,-68.76654074119585,369.76654074119585
6,–‡•ûŽs,237.625,13.70023461738625,288.0,50.375,3.6769443302869957,22.974530765227485,265.0254692347725
7,–‡•ûŽs,262.625,30.45810940573017,278.0,15.375,0.5047916728904867,-45.54121881146034,323.54121881146034
8,–‡•ûŽs,279.5,30.019041576020662,355.0,75.5,2.515070303254109,15.461916847958662,339.53808315204134
9,–‡•ûŽs,252.75,15.097303448913365,294.0,41.25,2.732276008068778,11.055393102173298,282.9446068978267
10,–‡•ûŽs,279.75,23.986603403924093,,,,,327.7232068078482
11,–‡•ûŽs,285.125,32.68655249924217,,,,,350.49810499848434
12,–‡•ûŽs,313.0,13.564659966250536,,,,,340.12931993250106
