month,place,ïΩãœ,ïWèÄïŒç∑,2020îN,ïΩãœÇ©ÇÁÇÃí¥âﬂ,ïWèÄïŒç∑Ç∆ÇÃî‰,í¥âﬂ,95%ãÊä‘è„å¿
1,írìcés,86.75,13.719121171353715,107.0,20.25,1.4760420691001055,-7.188242342707426,114.18824234270743
2,írìcés,76.0,6.740072064048828,79.0,3.0,0.4450990985692622,-10.480144128097663,89.48014412809766
3,írìcés,79.375,10.769500585316983,80.0,0.625,0.058034260274995295,-20.914001170633966,100.91400117063397
4,írìcés,73.125,10.736286934636999,79.0,5.875,0.5472096671565566,-15.597573869274001,94.597573869274
5,írìcés,74.75,15.097303448913365,94.0,19.25,1.275062137098763,-10.94460689782673,104.94460689782673
6,írìcés,63.5,6.969320524371696,79.0,15.5,2.2240331673362617,1.561358951256608,77.43864104874339
7,írìcés,63.5,7.54036755451237,73.0,9.5,1.25988553360571,-5.580735109024744,78.58073510902474
8,írìcés,74.125,8.425090080061036,81.0,6.875,0.8160150140436473,-9.975180160122079,90.97518016012208
9,írìcés,68.375,11.160357137142674,76.0,7.625,0.6832218634494512,-14.69571427428535,90.69571427428535
10,írìcés,70.75,5.775564289066727,,,,,82.30112857813346
11,írìcés,73.375,10.26697201153847,,,,,93.90894402307694
12,írìcés,81.625,11.648881000827014,,,,,104.92276200165404
