month,place,•½‹Ï,•W€•Î·,2020”N,•½‹Ï‚©‚ç‚Ì’´‰ß,•W€•Î·‚Æ‚Ì”ä,’´‰ß,95%‹æŠÔãŒÀ
1,‰Í“ì’¬,17.25,3.1959796173138706,7.0,-10.25,-3.2071543712205623,-16.64195923462774,23.64195923462774
2,‰Í“ì’¬,13.125,2.295181287579947,15.0,1.875,0.8169289328674387,-2.7153625751598938,17.715362575159894
3,‰Í“ì’¬,16.0,3.3380918415851206,12.0,-4.0,-1.1982893790305562,-10.67618368317024,22.67618368317024
4,‰Í“ì’¬,14.75,3.494894235064305,16.0,1.25,0.3576646146995634,-5.739788470128609,21.73978847012861
5,‰Í“ì’¬,14.25,5.800246300189083,15.0,0.75,0.12930485382587126,-10.850492600378168,25.850492600378168
6,‰Í“ì’¬,12.0,3.4641016151377544,15.0,3.0,0.8660254037844387,-3.928203230275507,18.928203230275507
7,‰Í“ì’¬,11.875,2.748376143938713,11.0,-0.875,-0.31836981336405895,-6.3717522878774275,17.371752287877428
8,‰Í“ì’¬,14.875,3.6425069859723185,8.0,-6.875,-1.887436325167352,-14.160013971944636,22.160013971944636
9,‰Í“ì’¬,12.5,2.32992949004287,22.0,9.5,4.077376607575022,4.84014101991426,17.15985898008574
10,‰Í“ì’¬,13.0,2.2677868380553634,,,,,17.535573676110726
11,‰Í“ì’¬,15.125,4.257346591481601,,,,,23.6396931829632
12,‰Í“ì’¬,13.375,5.974648824109127,,,,,25.324297648218256
