month,place,平均,標準偏差,2020年,平均からの超過,標準偏差との比,超過,95%区間上限
1,田尻町,7.875,2.6423744732991303,8.0,0.125,0.047305936862132775,-5.15974894659826,13.15974894659826
2,田尻町,7.25,2.3754698783308417,6.0,-1.25,-0.5262116819087307,-6.000939756661683,12.000939756661683
3,田尻町,9.0,3.251373336211726,8.0,-1.0,-0.3075623426146228,-7.502746672423452,15.502746672423452
4,田尻町,6.125,2.1671244937540095,13.0,6.875,3.172406578309101,2.540751012491981,10.459248987508019
5,田尻町,6.0,2.878491668515698,1.0,-5.0,-1.737020834449128,-10.756983337031397,11.756983337031397
6,田尻町,4.75,2.9640705601780613,4.0,-0.75,-0.2530304136737369,-6.678141120356123,10.678141120356123
7,田尻町,6.0,2.449489742783178,8.0,2.0,0.8164965809277261,-2.8989794855663558,10.898979485566356
8,田尻町,6.375,1.9955307206712847,8.0,1.625,0.8143197111259504,-2.36606144134257,10.36606144134257
9,田尻町,6.125,3.044315545875155,6.0,-0.125,-0.04106013260332579,-6.21363109175031,12.21363109175031
10,田尻町,6.875,1.8850918886280925,,,,,10.645183777256186
11,田尻町,6.75,2.815771906346718,,,,,12.381543812693437
12,田尻町,7.375,1.5979898086569353,,,,,10.57097961731387
