month,place,ïΩãœ,ïWèÄïŒç∑,2020îN,ïΩãœÇ©ÇÁÇÃí¥âﬂ,ïWèÄïŒç∑Ç∆ÇÃî‰,í¥âﬂ,95%ãÊä‘è„å¿
1,ñ•ñ és,96.5,10.085350054127309,105.0,8.5,0.8428066407592344,-11.670700108254621,116.67070010825462
2,ñ•ñ és,86.25,15.219817907677383,106.0,19.75,1.2976502163036683,-10.689635815354762,116.68963581535476
3,ñ•ñ és,91.125,11.281305648853644,90.0,-1.125,-0.09972249977238383,-23.687611297707292,113.68761129770729
4,ñ•ñ és,83.125,9.264949309860562,73.0,-10.125,-1.092828429101506,-28.654898619721124,101.65489861972112
5,ñ•ñ és,84.875,10.273926777458142,90.0,5.125,0.4988355583032459,-15.422853554916287,105.42285355491629
6,ñ•ñ és,81.75,8.013381665332416,80.0,-1.75,-0.21838470611862532,-17.776763330664835,97.77676333066483
7,ñ•ñ és,78.25,9.361776388210581,80.0,1.75,0.18693033537991785,-16.97355277642116,96.97355277642116
8,ñ•ñ és,85.75,14.300349646075091,88.0,2.25,0.15733881028688976,-26.350699292150182,114.35069929215018
9,ñ•ñ és,78.5,8.088792952509753,95.0,16.5,2.0398593581110833,0.3224140949805019,94.6775859050195
10,ñ•ñ és,86.375,10.459957661755343,,,,,107.29491532351068
11,ñ•ñ és,92.5,9.211793682944862,,,,,110.92358736588972
12,ñ•ñ és,84.375,11.249603167604244,,,,,106.87420633520848
