month,place,平均,標準偏差,2020年,平均からの超過,標準偏差との比,超過
1,能勢町,15.0,4.928053803045811,17.0,2.0,0.4058397249567139,-7.856107606091623
2,能勢町,14.625,3.9256482631170977,11.0,-3.625,-0.9234143654840913,-11.476296526234194
3,能勢町,16.25,4.367084676466507,15.0,-1.25,-0.2862321417159695,-9.984169352933016
4,能勢町,12.125,2.948970764763288,7.0,-5.125,-1.7378944753327796,-11.022941529526577
5,能勢町,12.875,4.611708700997618,10.0,-2.875,-0.6234131829224321,-12.098417401995235
6,能勢町,12.875,5.02671434864337,9.0,-3.875,-0.7708812817354144,-13.92842869728674
7,能勢町,11.0,3.779644730092272,11.0,0.0,0.0,-7.559289460184544
8,能勢町,11.5,3.070597894314954,14.0,2.5,0.814173684098662,-3.641195788629908
9,能勢町,11.125,4.0155946010522525,14.0,2.875,0.7159587273193939,-5.156189202104507
10,能勢町,12.5,4.810702354423639,,,,
11,能勢町,13.125,4.051013982414068,,,,
12,能勢町,12.875,4.67325215607779,,,,
