month,place,•½‹Ï,•W€•Î·,2020”N,•½‹Ï‚©‚ç‚Ì’´‰ß,•W€•Î·‚Æ‚Ì”ä,’´‰ß,95%‹æŠÔãŒÀ
1,ˆï–ØŽs,210.5,28.470536148295988,225.0,14.5,0.5092984524236945,-42.44107229659198,267.441072296592
2,ˆï–ØŽs,179.75,23.535687188365063,207.0,27.25,1.1578162040440068,-19.82137437673012,226.82137437673012
3,ˆï–ØŽs,191.375,17.83205380367452,215.0,23.625,1.3248614130544947,-12.039107607349024,227.03910760734902
4,ˆï–ØŽs,174.0,18.776885486454578,191.0,17.0,0.9053684655138148,-20.55377097290915,211.55377097290915
5,ˆï–ØŽs,166.5,18.65475810617763,174.0,7.5,0.40204220056417306,-29.809516212355277,203.80951621235528
6,ˆï–ØŽs,153.5,16.3707055437449,173.0,19.5,1.1911520824739759,-13.241411087489809,186.2414110874898
7,ˆï–ØŽs,167.125,24.902309129877896,194.0,26.875,1.0792171866405458,-22.929618259755784,216.92961825975578
8,ˆï–ØŽs,171.875,12.631451675423985,204.0,32.125,2.5432547917277843,6.862096649152022,197.13790335084798
9,ˆï–ØŽs,157.0,10.488088481701515,198.0,41.0,3.9091966159069287,20.02382303659698,177.97617696340302
10,ˆï–ØŽs,170.0,17.020995438407407,,,,,204.04199087681482
11,ˆï–ØŽs,182.25,17.9662381784756,,,,,218.1824763569512
12,ˆï–ØŽs,197.5,23.6462017487557,,,,,244.7924034975114
