month,place,ïΩãœ,ïWèÄïŒç∑,2020îN,ïΩãœÇ©ÇÁÇÃí¥âﬂ,ïWèÄïŒç∑Ç∆ÇÃî‰,í¥âﬂ,95%ãÊä‘è„å¿
1,ì°à‰éõés,65.25,12.646286863288031,72.0,6.75,0.5337535098618664,-18.542573726576066,90.54257372657607
2,ì°à‰éõés,55.875,10.301698889018258,43.0,-12.875,-1.249793858149447,-33.47839777803651,76.47839777803651
3,ì°à‰éõés,50.375,11.134726887406933,64.0,13.625,1.2236492316133498,-8.644453774813869,72.64445377481387
4,ì°à‰éõés,50.5,4.3094580368566735,66.0,15.5,3.5967399769149924,6.881083926286649,59.11891607371335
5,ì°à‰éõés,51.125,11.59356348521516,35.0,-16.125,-1.3908579549819702,-39.31212697043031,74.31212697043031
6,ì°à‰éõés,50.875,6.8959097607619135,60.0,9.125,1.3232481741454516,-4.66681952152382,64.66681952152382
7,ì°à‰éõés,46.5,7.946247991527646,49.0,2.5,0.314613891067271,-13.39249598305529,62.39249598305529
8,ì°à‰éõés,48.5,7.578164119928482,49.0,0.5,0.06597904084514848,-14.656328239856961,63.65632823985696
9,ì°à‰éõés,47.75,7.611082145698562,65.0,17.25,2.266431982966958,2.027835708602879,62.97216429139712
10,ì°à‰éõés,52.0,5.291502622129181,,,,,62.58300524425836
11,ì°à‰éõés,50.375,10.927520957916956,,,,,72.23004191583391
12,ì°à‰éõés,52.25,8.531454406237795,,,,,69.3129088124756
