month,place,•½‹Ï,•W€•Î·,2020”N,•½‹Ï‚©‚ç‚Ì’´‰ß,•W€•Î·‚Æ‚Ì”ä,’´‰ß
1,ŠL’ËŽs,87.625,9.855201672213513,78.0,-9.625,-0.9766416071562939,-29.33540334442702
2,ŠL’ËŽs,76.125,8.526220063511648,68.0,-8.125,-0.9529427975676247,-25.17744012702329
3,ŠL’ËŽs,78.375,9.148575220843329,75.0,-3.375,-0.3689099032940878,-21.672150441686654
4,ŠL’ËŽs,68.625,10.112757148416902,68.0,-0.625,-0.061803125579638823,-20.850514296833808
5,ŠL’ËŽs,77.5,9.456668093391638,68.0,-9.5,-1.0045821536909647,-28.413336186783283
6,ŠL’ËŽs,65.875,10.736286934636999,65.0,-0.875,-0.08149931212969992,-22.347573869274
7,ŠL’ËŽs,68.75,10.89888591947426,84.0,15.25,1.3992255825662985,-6.54777183894852
8,ŠL’ËŽs,66.875,6.334429729659964,64.0,-2.875,-0.4538687968292186,-15.543859459319933
9,ŠL’ËŽs,66.5,5.477225575051661,67.0,0.5,0.09128709291752768,-10.454451150103324
10,ŠL’ËŽs,67.625,11.338146736948302,,,,
11,ŠL’ËŽs,74.0,9.273618495495704,,,,
12,ŠL’ËŽs,70.75,8.664376986917672,,,,
