month,place,平均,標準偏差,2020年,平均からの超過,標準偏差との比,超過
1,吹田市,314.25,15.195942440884233,335.0,20.75,1.3654960908625673,-9.641884881768476
2,吹田市,273.5,10.279429296739517,232.0,-41.5,-4.037189108656372,-62.058858593479044
3,吹田市,265.5,25.06657801402763,286.0,20.5,0.8178220413064717,-29.633156028055282
4,吹田市,231.5,25.357444666211933,255.0,23.5,0.9267495329019914,-27.214889332423866
5,吹田市,252.0,16.990193249832878,227.0,-25.0,-1.471437059743032,-58.98038649966577
6,吹田市,226.25,21.715969546242537,228.0,1.75,0.0805858562415786,-41.681939092485095
7,吹田市,226.5,30.859898466024372,247.0,20.5,0.6642925291076299,-41.21979693204872
8,吹田市,232.0,25.768197453450252,,,,
9,吹田市,224.0,9.41629792788369,,,,
10,吹田市,237.25,14.750706197783662,,,,
11,吹田市,247.75,24.55436145915154,,,,
12,吹田市,231.0,13.832329280830953,,,,
