month,place,•½‹Ï,•W€•Î·,2020”N,•½‹Ï‚©‚ç‚Ì’´‰ß,•W€•Î·‚Æ‚Ì”ä,’´‰ß,95%‹æŠÔãŒÀ
1,ŽçŒûŽs,172.0,15.979153085609179,159.0,-13.0,-0.8135600134970731,-44.95830617121837,203.95830617121837
2,ŽçŒûŽs,147.25,24.67623688220444,134.0,-13.25,-0.5369538338949645,-62.60247376440887,196.60247376440887
3,ŽçŒûŽs,147.5,13.30413469565007,166.0,18.5,1.3905451518052334,-8.108269391300155,174.10826939130015
4,ŽçŒûŽs,116.75,13.30100246848585,187.0,70.25,5.281556797425139,43.647995063028304,143.3520049369717
5,ŽçŒûŽs,134.75,23.837994882120434,135.0,0.25,0.010487459253022628,-47.42598976424085,182.42598976424085
6,ŽçŒûŽs,113.75,3.8622100754188224,116.0,2.25,0.5825680002028392,-5.474420150837645,121.47442015083764
7,ŽçŒûŽs,124.75,14.338177476002079,131.0,6.25,0.43589919363605834,-22.426354952004147,153.42635495200415
8,ŽçŒûŽs,131.25,15.521490478258416,,,,,162.29298095651683
9,ŽçŒûŽs,116.75,10.965856099730654,,,,,138.68171219946132
10,ŽçŒûŽs,132.0,3.1622776601683795,,,,,138.32455532033677
11,ŽçŒûŽs,141.25,2.6299556396765835,,,,,146.50991127935316
12,ŽçŒûŽs,136.5,19.122412679017955,,,,,174.7448253580359
