month,place,•½‹Ï,•W€•Î·,2020”N,•½‹Ï‚©‚ç‚Ì’´‰ß,•W€•Î·‚Æ‚Ì”ä,’´‰ß,95%‹æŠÔãŒÀ
1,’‰‰ª’¬,21.5,2.3804761428476167,24.0,2.5,1.0502100630210074,-2.2609522856952324,26.260952285695232
2,’‰‰ª’¬,16.75,3.8622100754188224,15.0,-1.75,-0.4531084446022082,-9.474420150837645,24.474420150837645
3,’‰‰ª’¬,16.5,7.32575365861197,23.0,6.5,0.8872807226269157,-8.151507317223938,31.15150731722394
4,’‰‰ª’¬,19.5,4.43471156521669,13.0,-6.5,-1.4657097546055162,-15.369423130433383,28.369423130433383
5,’‰‰ª’¬,16.75,3.8622100754188224,16.0,-0.75,-0.19418933340094638,-8.474420150837645,24.474420150837645
6,’‰‰ª’¬,16.75,5.909032633745278,21.0,4.25,0.7192378623413108,-7.568065267490557,28.568065267490557
7,’‰‰ª’¬,12.0,2.449489742783178,18.0,6.0,2.4494897427831783,1.1010205144336425,16.898979485566358
8,’‰‰ª’¬,16.25,4.5,,,,,25.25
9,’‰‰ª’¬,15.5,4.932882862316247,,,,,25.365765724632496
10,’‰‰ª’¬,14.25,4.031128874149275,,,,,22.31225774829855
11,’‰‰ª’¬,14.0,4.83045891539648,,,,,23.66091783079296
12,’‰‰ª’¬,18.75,6.3966136874651625,,,,,31.543227374930325
