month,place,•½‹Ï,•W€•Î·,2020”N,•½‹Ï‚©‚ç‚Ì’´‰ß,•W€•Î·‚Æ‚Ì”ä,’´‰ß,95%‹æŠÔãŒÀ
1,‰H‰g–ìŽs,122.25,15.861378670636842,122.0,-0.25,-0.015761555485892854,-31.972757341273677,153.97275734127368
2,‰H‰g–ìŽs,112.0,6.48074069840786,92.0,-20.0,-3.086066999241838,-32.961481396815714,124.96148139681571
3,‰H‰g–ìŽs,109.25,5.315072906367325,120.0,10.75,2.022549867024734,0.11985418726534647,119.88014581273465
4,‰H‰g–ìŽs,91.5,3.415650255319866,84.0,-7.5,-2.1957751641342,-14.331300510639736,98.33130051063974
5,‰H‰g–ìŽs,99.0,13.564659966250536,116.0,17.0,1.2532566273166257,-10.129319932501076,126.12931993250108
6,‰H‰g–ìŽs,86.0,6.782329983125268,86.0,0.0,0.0,-13.564659966250531,99.56465996625053
7,‰H‰g–ìŽs,94.75,13.961255912942311,86.0,-8.75,-0.6267344467118182,-36.67251182588463,122.67251182588463
8,‰H‰g–ìŽs,96.25,13.961255912942311,,,,,124.17251182588463
9,‰H‰g–ìŽs,87.75,9.776672917374976,,,,,107.30334583474995
10,‰H‰g–ìŽs,113.25,10.04572877727976,,,,,133.34145755455953
11,‰H‰g–ìŽs,102.0,6.782329983125268,,,,,115.56465996625053
12,‰H‰g–ìŽs,97.5,8.698658900466592,,,,,114.89731780093318
