month,place,•½‹Ï,•W€•Î·,2020”N,•½‹Ï‚©‚ç‚Ì’´‰ß,•W€•Î·‚Æ‚Ì”ä,’´‰ß,95%‹æŠÔãŒÀ
1,“¡ˆäŽ›Žs,70.0,16.020819787597222,72.0,2.0,0.12483755678647183,-30.041639575194438,102.04163957519444
2,“¡ˆäŽ›Žs,64.0,7.2571803523590805,43.0,-21.0,-2.8936858367001395,-35.51436070471816,78.51436070471816
3,“¡ˆäŽ›Žs,54.25,11.814539065631521,64.0,9.75,0.82525437055456,-13.879078131263043,77.87907813126304
4,“¡ˆäŽ›Žs,50.75,2.0615528128088303,66.0,15.25,7.397336563608156,11.126894374382339,54.87310562561766
5,“¡ˆäŽ›Žs,58.25,5.251983752196243,35.0,-23.25,-4.426898691428254,-33.75396750439249,68.75396750439249
6,“¡ˆäŽ›Žs,54.5,4.041451884327381,60.0,5.5,1.360897063089832,-2.5829037686547593,62.58290376865476
7,“¡ˆäŽ›Žs,50.75,9.394147114027968,49.0,-1.75,-0.1862862033943223,-20.538294228055932,69.53829422805593
8,“¡ˆäŽ›Žs,52.25,8.421203397773187,,,,,69.09240679554637
9,“¡ˆäŽ›Žs,51.0,8.445906306213285,,,,,67.89181261242658
10,“¡ˆäŽ›Žs,53.0,6.683312551921141,,,,,66.36662510384228
11,“¡ˆäŽ›Žs,55.5,11.67618659209133,,,,,78.85237318418265
12,“¡ˆäŽ›Žs,49.25,7.135591542869215,,,,,63.52118308573843
