month,place,•½‹Ï,•W€•Î·,2020”N,•½‹Ï‚©‚ç‚Ì’´‰ß,•W€•Î·‚Æ‚Ì”ä,’´‰ß,95%‹æŠÔãŒÀ
1,–L’†Žs,379.5,44.01136216933077,413.0,33.5,0.7611670793353541,-54.52272433866153,467.52272433866153
2,–L’†Žs,324.25,28.040149785619906,305.0,-19.25,-0.686515590935686,-75.33029957123983,380.33029957123983
3,–L’†Žs,326.75,22.020823478395776,339.0,12.25,0.5562916396845127,-31.791646956791567,370.79164695679157
4,–L’†Žs,279.25,18.117670931993437,311.0,31.75,1.7524327557982993,-4.485341863986889,315.4853418639869
5,–L’†Žs,342.75,28.359301824974466,303.0,-39.75,-1.4016565092231705,-96.46860364994893,399.46860364994893
6,–L’†Žs,252.0,14.212670403551895,296.0,44.0,3.095829196813284,15.574659192896206,280.4253408071038
7,–L’†Žs,279.0,54.53439281774392,297.0,18.0,0.3300669370273674,-91.06878563548787,388.06878563548787
8,–L’†Žs,288.5,18.59211302317912,,,,,325.6842260463582
9,–L’†Žs,275.0,14.071247279470288,,,,,303.1424945589406
10,–L’†Žs,310.0,34.438350715445125,,,,,378.87670143089025
11,–L’†Žs,314.25,28.53506614676055,,,,,371.3201322935211
12,–L’†Žs,303.5,19.9415813481947,,,,,343.3831626963894
