month,place,平均,標準偏差,2020年,平均からの超過,標準偏差との比,超過,95%区間上限
1,門真市,143.75,19.05037182489273,145.0,1.25,0.06561551719251225,-36.85074364978544,181.85074364978544
2,門真市,121.5,6.557438524302,89.0,-32.5,-4.956203535809652,-45.614877048604,134.614877048604
3,門真市,118.25,10.21028892833107,141.0,22.75,2.2281445862784826,2.3294221433378652,138.67057785666213
4,門真市,97.5,13.025615788386615,134.0,36.5,2.80217078355272,10.448768423226767,123.55123157677323
5,門真市,114.75,12.971121771072847,99.0,-15.75,-1.214235767574427,-41.69224354214569,140.6922435421457
6,門真市,96.5,11.210114480533491,105.0,8.5,0.7582438176488171,-13.920228961066982,118.92022896106698
7,門真市,92.0,9.309493362512628,124.0,32.0,3.437351395389278,13.381013274974748,110.61898672502525
8,門真市,107.5,4.123105625617661,,,,,115.74621125123532
9,門真市,105.25,17.594980344783945,,,,,140.4399606895679
10,門真市,114.5,1.7320508075688772,,,,,117.96410161513775
11,門真市,110.0,10.55146119422961,,,,,131.1029223884592
12,門真市,117.25,14.080127840328723,,,,,145.41025568065746
