month,place,ïΩãœ,ïWèÄïŒç∑,2020îN,ïΩãœÇ©ÇÁÇÃí¥âﬂ,ïWèÄïŒç∑Ç∆ÇÃî‰,í¥âﬂ,95%ãÊä‘è„å¿
1,ñkãÊ,115.875,17.660572848391222,132.5,16.625,0.9413624429240665,-18.69614569678245,151.19614569678245
2,ñkãÊ,107.375,6.394985014316557,94.5,-12.875,-2.0132963519346063,-25.66497002863312,120.16497002863312
3,ñkãÊ,105.375,10.49900788963732,116.5,11.125,1.059623929893466,-9.873015779274638,126.37301577927464
4,ñkãÊ,90.75,8.331666499966659,105.0,14.25,1.7103421026342118,-2.413332999933317,107.41333299993332
5,ñkãÊ,106.875,14.682046860026023,86.0,-20.875,-1.421804479921337,-50.23909372005204,136.23909372005204
6,ñkãÊ,85.75,4.663689526544408,98.5,12.75,2.7338869638363765,3.422620946911181,95.07737905308882
7,ñkãÊ,88.0,5.787918451395113,99.5,11.5,1.9868973788371282,-0.07583690279022903,99.57583690279023
8,ñkãÊ,96.75,7.68656837173347,,,,,112.12313674346694
9,ñkãÊ,88.125,4.8541219597369,,,,,97.8332439194738
10,ñkãÊ,92.5,2.48327740429189,,,,,97.46655480858378
11,ñkãÊ,100.375,4.2106016988865935,,,,,108.79620339777318
12,ñkãÊ,96.4,9.864076236526156,,,,,116.12815247305232
