month,place,平均,標準偏差,2020年,平均からの超過,標準偏差との比,超過
1,四條畷市,50.5,5.446711546122731,59.0,8.5,1.5605746564733667,-2.393423092245463
2,四條畷市,45.5,7.047458170621991,55.0,9.5,1.3480037440451462,-4.59491634124398
3,四條畷市,43.5,11.704699910719626,37.0,-6.5,-0.5553324775158945,-29.90939982143925
4,四條畷市,37.5,3.1091263510296048,37.0,-0.5,-0.16081688022566923,-6.71825270205921
5,四條畷市,39.75,4.573474244670748,40.0,0.25,0.05466303878092527,-8.896948489341497
6,四條畷市,38.75,1.2583057392117916,32.0,-6.75,-5.364356046113428,-9.266611478423584
7,四條畷市,42.75,3.593976442141304,42.0,-0.75,-0.20868250309207573,-7.937952884282609
8,四條畷市,40.25,2.217355782608345,,,,
9,四條畷市,34.0,3.559026084010437,,,,
10,四條畷市,38.75,6.701989754294367,,,,
11,四條畷市,47.0,2.70801280154532,,,,
12,四條畷市,46.0,4.0,,,,
