month,place,平均,標準偏差,2020年,平均からの超過,標準偏差との比,超過
1,大阪狭山市,52.75,6.3966136874651625,55.0,2.25,0.3517486141783287,-10.543227374930325
2,大阪狭山市,45.0,4.760952285695233,50.0,5.0,1.0502100630210074,-4.521904571390465
3,大阪狭山市,51.75,4.5,46.0,-5.75,-1.2777777777777777,-14.75
4,大阪狭山市,43.75,4.716990566028302,39.0,-4.75,-1.006997986006042,-14.183981132056601
5,大阪狭山市,38.25,7.632168761236874,38.0,-0.25,-0.03275608910402092,-15.514337522473745
6,大阪狭山市,43.75,8.098353742170895,32.0,-11.75,-1.4509121698171488,-27.946707484341786
7,大阪狭山市,34.5,5.686240703077327,31.0,-3.5,-0.6155209008485767,-14.872481406154655
8,大阪狭山市,37.75,4.645786621588784,,,,
9,大阪狭山市,39.25,7.135591542869215,,,,
10,大阪狭山市,40.75,2.9860788111948193,,,,
11,大阪狭山市,39.5,3.415650255319866,,,,
12,大阪狭山市,47.2,7.19027120489902,,,,
