month,place,ïΩãœ,ïWèÄïŒç∑,2020îN,ïΩãœÇ©ÇÁÇÃí¥âﬂ,ïWèÄïŒç∑Ç∆ÇÃî‰,í¥âﬂ,95%ãÊä‘è„å¿
1,ïxìcó—és,117.0,20.54263858417414,158.0,41.0,1.9958487723960654,-0.08527716834828425,158.08527716834828
2,ïxìcó—és,107.0,8.406346808612328,121.0,14.0,1.6654083300081026,-2.812693617224653,123.81269361722465
3,ïxìcó—és,96.0,11.74734012447073,110.0,14.0,1.191759143062248,-9.494680248941464,119.49468024894146
4,ïxìcó—és,98.0,4.0,108.0,10.0,2.5,2.0,106.0
5,ïxìcó—és,100.0,17.358955421722047,86.0,-14.0,-0.806500141274697,-48.71791084344409,134.7179108434441
6,ïxìcó—és,81.25,3.095695936834452,91.0,9.75,3.149534127040268,3.5586081263310945,87.4413918736689
7,ïxìcó—és,96.0,9.38083151964686,104.0,8.0,0.8528028654224417,-10.761663039293722,114.76166303929372
8,ïxìcó—és,88.75,4.9916597106239795,,,,,98.73331942124796
9,ïxìcó—és,77.75,11.116804097101529,,,,,99.98360819420306
10,ïxìcó—és,105.0,7.745966692414834,,,,,120.49193338482966
11,ïxìcó—és,95.0,15.748015748023622,,,,,126.49603149604724
12,ïxìcó—és,94.0,2.9154759474226504,,,,,99.8309518948453
