month,place,ïΩãœ,ïWèÄïŒç∑,2020îN,ïΩãœÇ©ÇÁÇÃí¥âﬂ,ïWèÄïŒç∑Ç∆ÇÃî‰,í¥âﬂ,95%ãÊä‘è„å¿
1,ñ¶í¨,23.0,5.597618541248888,20.0,-3.0,-0.5359422007578724,-14.195237082497776,34.195237082497776
2,ñ¶í¨,19.25,4.193248541803041,19.0,-0.25,-0.05961964751378732,-8.63649708360608,27.63649708360608
3,ñ¶í¨,19.5,2.516611478423583,25.0,5.5,2.185478389157322,0.46677704315283464,24.533222956847165
4,ñ¶í¨,18.5,1.0,24.0,5.5,5.5,3.5,20.5
5,ñ¶í¨,18.5,1.9148542155126762,14.0,-4.5,-2.350048355401921,-8.329708431025352,22.329708431025352
6,ñ¶í¨,15.75,1.2583057392117916,16.0,0.25,0.1986798535597566,-2.2666114784235845,18.266611478423584
7,ñ¶í¨,18.25,3.685557397915997,17.0,-1.25,-0.33916172373460096,-8.621114795831993,25.621114795831993
8,ñ¶í¨,16.25,5.737304826019502,,,,,27.724609652039003
9,ñ¶í¨,20.75,4.9916597106239795,,,,,30.73331942124796
10,ñ¶í¨,18.0,2.70801280154532,,,,,23.416025603090638
11,ñ¶í¨,17.75,5.852349955359813,,,,,29.454699910719626
12,ñ¶í¨,25.0,3.9370039370059056,,,,,32.87400787401181
