month,place,ïΩãœ,ïWèÄïŒç∑,2020îN,ïΩãœÇ©ÇÁÇÃí¥âﬂ,ïWèÄïŒç∑Ç∆ÇÃî‰,í¥âﬂ,95%ãÊä‘è„å¿
1,ä›òaìcés,219.0,9.092121131323903,209.0,-10.0,-1.0998533626601497,-28.184242262647814,237.1842422626478
2,ä›òaìcés,180.0,26.229754097208,181.0,1.0,0.038124642583151166,-51.459508194416,232.459508194416
3,ä›òaìcés,192.0,17.90716802475106,181.0,-11.0,-0.6142791526162005,-46.81433604950212,227.81433604950212
4,ä›òaìcés,160.5,17.01959654829299,210.0,49.5,2.9084120683791816,15.46080690341401,194.539193096586
5,ä›òaìcés,161.75,9.945685831890462,152.0,-9.75,-0.9803245512478383,-29.641371663780916,181.64137166378092
6,ä›òaìcés,149.75,10.626225419530053,162.0,12.25,1.152808218945327,-9.002450839060117,171.00245083906012
7,ä›òaìcés,166.0,7.483314773547883,177.0,11.0,1.4699368305183342,-3.9666295470957778,180.96662954709578
8,ä›òaìcés,165.0,7.118052168020874,,,,,179.23610433604176
9,ä›òaìcés,161.75,6.13052471924984,,,,,174.01104943849967
10,ä›òaìcés,168.25,26.76284738214527,,,,,221.77569476429053
11,ä›òaìcés,181.75,6.18465843842649,,,,,194.119316876853
12,ä›òaìcés,186.0,15.378556499229699,,,,,216.7571129984594
