month,place,ïΩãœ,ïWèÄïŒç∑,2020îN,ïΩãœÇ©ÇÁÇÃí¥âﬂ,ïWèÄïŒç∑Ç∆ÇÃî‰,í¥âﬂ,95%ãÊä‘è„å¿
1,ê€í√és,67.25,14.568802284333465,79.0,11.75,0.8065179120891318,-17.38760456866693,96.38760456866693
2,ê€í√és,71.0,9.591663046625438,57.0,-14.0,-1.4596008983995234,-33.183326093250884,90.18332609325088
3,ê€í√és,63.25,5.123475382979799,90.0,26.75,5.221065390274653,16.503049234040404,73.4969507659596
4,ê€í√és,61.75,2.8722813232690143,62.0,0.25,0.08703882797784893,-5.494562646538029,67.49456264653803
5,ê€í√és,66.0,6.831300510639732,60.0,-6.0,-0.8783100656536799,-19.66260102127947,79.66260102127947
6,ê€í√és,55.25,9.63932916061417,68.0,12.75,1.322706153877998,-6.528658321228335,74.52865832122833
7,ê€í√és,57.25,11.615363389350618,56.0,-1.25,-0.10761609069812184,-24.48072677870124,80.48072677870124
8,ê€í√és,59.0,4.546060565661952,,,,,68.0921211313239
9,ê€í√és,49.75,8.421203397773187,,,,,66.59240679554637
10,ê€í√és,59.0,4.898979485566356,,,,,68.79795897113272
11,ê€í√és,65.25,6.701989754294367,,,,,78.65397950858873
12,ê€í√és,60.4,4.449719092257397,,,,,69.2994381845148
