month,place,ïΩãœ,ïWèÄïŒç∑,2020îN,ïΩãœÇ©ÇÁÇÃí¥âﬂ,ïWèÄïŒç∑Ç∆ÇÃî‰,í¥âﬂ,95%ãÊä‘è„å¿
1,èºå¥és,136.0,20.575065816014618,168.0,32.0,1.5552805656200028,-9.150131632029229,177.15013163202923
2,èºå¥és,112.25,10.65754818583211,130.0,17.75,1.665486253545297,-3.565096371664225,133.56509637166423
3,èºå¥és,112.75,2.9860788111948193,129.0,16.25,5.44191932881299,10.277842377610355,118.72215762238964
4,èºå¥és,106.5,14.571661996262929,104.0,-2.5,-0.17156587907687906,-31.643323992525865,135.64332399252586
5,èºå¥és,113.0,12.754084313139327,118.0,5.0,0.3920312801169875,-20.50816862627866,138.50816862627866
6,èºå¥és,95.0,7.788880963698615,89.0,-6.0,-0.7703288865196433,-21.577761927397233,110.57776192739723
7,èºå¥és,102.0,10.83205120618128,90.0,-12.0,-1.1078234188139946,-33.66410241236255,123.66410241236255
8,èºå¥és,100.5,5.507570547286102,,,,,111.5151410945722
9,èºå¥és,99.5,16.862186493255653,,,,,133.2243729865113
10,èºå¥és,120.75,19.75474626513841,,,,,160.25949253027682
11,èºå¥és,115.0,10.03327796219494,,,,,135.0665559243899
12,èºå¥és,109.0,12.186057606953941,,,,,133.37211521390788
