month,place,•½‹Ï,•W€•Î·,2020”N,•½‹Ï‚©‚ç‚Ì’´‰ß,•W€•Î·‚Æ‚Ì”ä,’´‰ß,95%‹æŠÔãŒÀ
1,–‡•ûŽs,385.75,64.98397238293968,435.0,49.25,0.7578791845745899,-80.71794476587934,515.7179447658793
2,–‡•ûŽs,332.75,29.01005572785639,301.0,-31.75,-1.0944480871683617,-89.77011145571277,390.77011145571277
3,–‡•ûŽs,316.0,18.31210892642716,324.0,8.0,0.4368693978471689,-28.624217852854315,352.6242178528543
4,–‡•ûŽs,273.75,17.613914953808536,293.0,19.25,1.0928859399220447,-15.977829907617092,308.9778299076171
5,–‡•ûŽs,320.25,20.982135258357285,301.0,-19.25,-0.9174471407686038,-61.21427051671458,362.2142705167146
6,–‡•ûŽs,247.75,2.9860788111948193,288.0,40.25,13.479215568290634,34.27784237761037,253.72215762238963
7,–‡•ûŽs,286.0,15.253414918196734,278.0,-8.0,-0.5244727192503175,-38.50682983639348,316.5068298363935
8,–‡•ûŽs,305.0,10.456258094238748,,,,,325.9125161884775
9,–‡•ûŽs,265.75,6.34428877022476,,,,,278.4385775404495
10,–‡•ûŽs,299.0,18.672618098881223,,,,,336.34523619776246
11,–‡•ûŽs,309.75,21.85368008673444,,,,,353.4573601734689
12,–‡•ûŽs,301.8,17.340703561274555,,,,,336.4814071225491
