month,place,ïΩãœ,ïWèÄïŒç∑,2020îN,ïΩãœÇ©ÇÁÇÃí¥âﬂ,ïWèÄïŒç∑Ç∆ÇÃî‰,í¥âﬂ,95%ãÊä‘è„å¿
1,írìcés,90.0,9.93310961716756,107.0,17.0,1.7114479407957621,-2.8662192343351194,109.86621923433512
2,írìcés,77.75,5.439056290693573,79.0,1.25,0.22981927988846085,-9.628112581387143,88.62811258138714
3,írìcés,86.5,5.259911279353167,80.0,-6.5,-1.235762288522732,-17.019822558706338,97.01982255870634
4,írìcés,81.25,5.737304826019502,79.0,-2.25,-0.3921702032975356,-13.724609652039007,92.724609652039
5,írìcés,75.0,22.135943621178654,94.0,19.0,0.8583325077599887,-25.27188724235731,119.27188724235731
6,írìcés,61.0,5.94418483337567,79.0,18.0,3.028169632097039,6.111630333248655,72.88836966675134
7,írìcés,67.75,6.994045086119096,73.0,5.25,0.7506385697197666,-8.738090172238188,81.73809017223819
8,írìcés,80.25,7.32006375199925,,,,,94.8901275039985
9,írìcés,73.0,5.41602560309064,,,,,83.83205120618128
10,írìcés,74.5,3.872983346207417,,,,,82.24596669241484
11,írìcés,73.5,7.593857166596345,,,,,88.68771433319269
12,írìcés,82.6,14.943225890014512,,,,,112.48645178002901
