month,place,ïΩãœ,ïWèÄïŒç∑,2020îN,ïΩãœÇ©ÇÁÇÃí¥âﬂ,ïWèÄïŒç∑Ç∆ÇÃî‰,í¥âﬂ,95%ãÊä‘è„å¿
1,ç`ãÊ,105.0,5.354126134736337,114.0,9.0,1.680946577184664,-1.7082522694726663,115.70825226947267
2,ç`ãÊ,89.25,9.810708435174291,83.0,-6.25,-0.637058989297032,-25.871416870348583,108.87141687034858
3,ç`ãÊ,84.75,6.238322424070967,90.0,5.25,0.8415724041037922,-7.22664484814193,97.22664484814193
4,ç`ãÊ,71.75,7.804912982645397,66.0,-5.75,-0.7367154525342441,-21.359825965290796,87.3598259652908
5,ç`ãÊ,86.25,4.112987559751022,72.0,-14.25,-3.464634840972536,-22.47597511950204,94.47597511950204
6,ç`ãÊ,73.75,2.6299556396765835,87.0,13.25,5.038107791669599,7.990088720646838,79.00991127935316
7,ç`ãÊ,83.0,7.874007874011811,82.0,-1.0,-0.1270001270001905,-16.74801574802362,98.74801574802362
8,ç`ãÊ,69.75,1.2583057392117916,,,,,72.26661147842358
9,ç`ãÊ,67.75,8.220908303425682,,,,,84.19181660685136
10,ç`ãÊ,80.0,9.41629792788369,,,,,98.83259585576738
11,ç`ãÊ,83.5,11.210114480533491,,,,,105.92022896106698
12,ç`ãÊ,75.4,12.581732790041283,,,,,100.56346558008258
