month,place,平均,標準偏差,2020年,平均からの超過,標準偏差との比,超過,95%区間上限
1,田尻町,7.75,3.8622100754188224,8.0,0.25,0.06472977780031547,-7.474420150837645,15.474420150837645
2,田尻町,7.0,2.449489742783178,6.0,-1.0,-0.4082482904638631,-5.898979485566356,11.898979485566356
3,田尻町,9.5,2.0816659994661326,8.0,-1.5,-0.7205766921228921,-5.663331998932264,13.663331998932264
4,田尻町,5.75,2.9860788111948193,13.0,7.25,2.427933239008872,1.2778423776103622,11.722157622389638
5,田尻町,5.25,3.304037933599835,1.0,-4.25,-1.2863048443785616,-10.85807586719967,11.85807586719967
6,田尻町,3.5,2.516611478423583,4.0,0.5,0.1986798535597566,-4.533222956847165,8.533222956847165
7,田尻町,5.0,1.632993161855452,8.0,3.0,1.8371173070873836,-0.265986323710905,8.265986323710905
8,田尻町,5.5,1.9148542155126762,,,,,9.329708431025352
9,田尻町,6.25,3.947573094109004,,,,,14.145146188218007
10,田尻町,5.25,0.5,,,,,6.25
11,田尻町,8.5,3.1091263510296048,,,,,14.71825270205921
12,田尻町,7.4,1.51657508881031,,,,,10.43315017762062
