month,place,ïΩãœ,ïWèÄïŒç∑,2020îN,ïΩãœÇ©ÇÁÇÃí¥âﬂ,ïWèÄïŒç∑Ç∆ÇÃî‰,í¥âﬂ
1,ñ•ñ és,103.75,6.238322424070967,105.0,1.25,0.20037438192947432,-11.22664484814193
2,ñ•ñ és,89.75,16.479785597310826,106.0,16.25,0.9860565177893866,-16.709571194621645
3,ñ•ñ és,99.5,6.244997998398398,90.0,-9.5,-1.5212174611483278,-21.989995996796793
4,ñ•ñ és,85.0,7.52772652709081,73.0,-12.0,-1.5941067939721716,-27.055453054181612
5,ñ•ñ és,91.0,6.683312551921141,90.0,-1.0,-0.14962640041614492,-14.366625103842281
6,ñ•ñ és,87.75,3.8622100754188224,80.0,-7.75,-2.0066231118097795,-15.474420150837645
7,ñ•ñ és,83.25,11.176612486199325,80.0,-3.25,-0.2907857818290685,-25.60322497239865
8,ñ•ñ és,95.0,14.628738838327793,,,,
9,ñ•ñ és,82.75,6.13052471924984,,,,
10,ñ•ñ és,94.75,5.315072906367325,,,,
11,ñ•ñ és,96.0,6.48074069840786,,,,
12,ñ•ñ és,82.4,4.393176527297759,,,,
