month,place,平均,標準偏差,2020年,平均からの超過,標準偏差との比,超過,95%区間上限
1,能勢町,12.75,1.8929694486000912,17.0,4.25,2.2451498111303407,0.4640611027998176,16.535938897200182
2,能勢町,15.0,4.08248290463863,11.0,-4.0,-0.9797958971132712,-12.164965809277263,23.164965809277263
3,能勢町,16.5,5.446711546122731,15.0,-1.5,-0.27539552761294706,-12.393423092245463,27.393423092245463
4,能勢町,12.25,3.2015621187164243,7.0,-5.25,-1.6398244998303637,-11.653124237432849,18.65312423743285
5,能勢町,13.75,5.560275772537426,10.0,-3.75,-0.6744269804964532,-14.870551545074854,24.870551545074854
6,能勢町,14.5,3.7859388972001824,9.0,-5.5,-1.4527439954372794,-13.071877794400365,22.071877794400365
7,能勢町,9.75,3.4034296427770228,11.0,1.25,0.36727658015579384,-5.556859285554047,16.556859285554047
8,能勢町,11.0,2.160246899469287,,,,,15.320493798938575
9,能勢町,10.75,4.716990566028302,,,,,20.1839811320566
10,能勢町,9.0,2.160246899469287,,,,,13.320493798938575
11,能勢町,11.25,1.2583057392117916,,,,,13.766611478423583
12,能勢町,11.2,3.7013511046643495,,,,,18.602702209328697
