month,place,•½‹Ï,•W€•Î·,2020”N,•½‹Ï‚©‚ç‚Ì’´‰ß,•W€•Î·‚Æ‚Ì”ä,’´‰ß
1,ˆï–ØŽs,226.5,14.38749456993816,225.0,-1.5,-0.10425720702853737,-30.27498913987631
2,ˆï–ØŽs,198.75,12.711543310445563,207.0,8.25,0.6490163938804078,-17.173086620891127
3,ˆï–ØŽs,206.75,6.849574196011505,215.0,8.25,1.2044544323359487,-5.449148392023005
4,ˆï–ØŽs,182.0,25.179356624028344,191.0,9.0,0.3574356618552919,-41.35871324805669
5,ˆï–ØŽs,180.75,11.615363389350618,174.0,-6.75,-0.5811268897698579,-29.98072677870124
6,ˆï–ØŽs,163.0,14.719601443879744,173.0,10.0,0.6793662204867574,-19.43920288775948
7,ˆï–ØŽs,185.0,9.486832980505138,194.0,9.0,0.9486832980505138,-9.973665961010283
8,ˆï–ØŽs,176.75,10.781929326423912,,,,
9,ˆï–ØŽs,156.25,12.419742348374221,,,,
10,ˆï–ØŽs,184.5,7.852812659593164,,,,
11,ˆï–ØŽs,191.75,15.96610994158147,,,,
12,ˆï–ØŽs,203.4,24.460171708309815,,,,
