month,place,•½‹Ï,•W€•Î·,2020”N,•½‹Ï‚©‚ç‚Ì’´‰ß,•W€•Î·‚Æ‚Ì”ä,’´‰ß
1,ŠL’ËŽs,91.5,8.266397845091497,78.0,-13.5,-1.6331176230546613,-30.032795690182994
2,ŠL’ËŽs,80.0,7.164728420068226,68.0,-12.0,-1.6748715787172475,-26.32945684013646
3,ŠL’ËŽs,78.75,8.770214744615247,75.0,-3.75,-0.42758360076672375,-21.29042948923049
4,ŠL’ËŽs,69.5,14.083086782851739,68.0,-1.5,-0.10651074037450894,-29.666173565703474
5,ŠL’ËŽs,83.0,8.366600265340756,68.0,-15.0,-1.7928429140015905,-31.733200530681515
6,ŠL’ËŽs,69.75,12.338962679253067,65.0,-4.75,-0.38495942677472617,-29.42792535850613
7,ŠL’ËŽs,71.75,14.198004554631378,84.0,12.25,0.8627973003434528,-16.146009109262764
8,ŠL’ËŽs,69.75,7.932002689527196,,,,
9,ŠL’ËŽs,62.5,4.654746681256314,,,,
10,ŠL’ËŽs,70.0,10.36018017861337,,,,
11,ŠL’ËŽs,74.25,11.354147553500733,,,,
12,ŠL’ËŽs,71.0,9.055385138137417,,,,
